split,ratio,base_imp,scheme,mse,variance,bias2
0.8,5,100,original,0.0014153925785077934,0.0014112171483334403,4.175430174353068e-06
0.8,5,100,harmonic,0.0005723600596194199,0.0005710075972525162,1.3524623669037533e-06
0.8,10,2,original,0.0706543555440978,0.06972045939434846,0.0009338961497493302
0.8,10,2,harmonic,0.06248886504228882,0.06202921294555473,0.0004596520967340936
0.8,10,5,original,0.026843073637126524,0.026239820472565612,0.0006032531645609057
0.8,10,5,harmonic,0.02293440829411113,0.02247143105699339,0.0004629772371177414
0.8,10,10,original,0.011359354535866405,0.01123671468484518,0.0001226398510212247
0.8,10,10,harmonic,0.006617371186119413,0.0065437640988806,7.360708723880991e-05
0.8,10,20,original,0.0061590849400032744,0.006139464690745396,1.9620249257878198e-05
0.8,10,20,harmonic,0.003515879106076268,0.0035107056003005734,5.173505775694791e-06
0.8,10,50,original,0.0022492248584928018,0.00224405048610592,5.1743723868818125e-06
0.8,10,50,harmonic,0.0010972378455901721,0.0010938028441477413,3.4350014424310204e-06
0.8,10,100,original,0.0012314107030773384,0.0012231647062518974,8.245996825440886e-06
0.8,10,100,harmonic,0.0006430609049747192,0.000642006837596737,1.0540673779821533e-06
0.8,20,2,original,0.09117019976871153,0.09026391856652606,0.0009062812021854744
0.8,20,2,harmonic,0.05768449579349557,0.057448882736721565,0.0002356130567740064
0.8,20,5,original,0.026907873345467258,0.026610766376472215,0.00029710696899504284
0.8,20,5,harmonic,0.01928627568998128,0.019034412628742357,0.00025186306123892676
0.8,20,10,original,0.012562069051451491,0.012542981638784886,1.9087412666605743e-05
0.8,20,10,harmonic,0.006184539282772526,0.0061796481796959225,4.891103076603499e-06
0.8,20,20,original,0.005314515943977795,0.0052809679171637956,3.354802681399846e-05
0.8,20,20,harmonic,0.002941155780543282,0.002924487054788991,1.666872575429072e-05
0.8,20,50,original,0.003103989028597828,0.0030966272178361365,7.361810761691203e-06
0.8,20,50,harmonic,0.001341955845289151,0.0013402508673155621,1.7049779735889306e-06
0.8,20,100,original,0.0013235720523346293,0.0013200078429936545,3.5642093409748364e-06
0.8,20,100,harmonic,0.0005992822680119773,0.0005975108787626591,1.7713892493182637e-06
0.8,50,2,original,0.06706686444618343,0.0663193581965303,0.0007475062496531289
0.8,50,2,harmonic,0.03098312960763385,0.030918130751645644,6.499885598820457e-05
0.8,50,5,original,0.024676856781972876,0.024275847450221693,0.000401009331751184
0.8,50,5,harmonic,0.01793958941188962,0.017665070283111272,0.00027451912877834853
0.8,50,10,original,0.011571406927265677,0.011555408436691787,1.599849057388845e-05
0.8,50,10,harmonic,0.006375939612165375,0.00633837141856443,3.7568193600945676e-05
0.8,50,20,original,0.005030558290448231,0.00500826922489153,2.2289065556700814e-05
0.8,50,20,harmonic,0.0032014896439036067,0.00317645360633301,2.503603757059668e-05
0.8,50,50,original,0.002212876158625584,0.002194975114356657,1.790104426892708e-05
0.8,50,50,harmonic,0.0012206592593063074,0.0012150154486793314,5.643810626976037e-06
0.8,50,100,original,0.0014207810967638624,0.0014173644452266606,3.4166515372017384e-06
0.8,50,100,harmonic,0.0007458879747842875,0.0007421781636222393,3.7098111620480675e-06
0.8,100,2,original,0.14729964194696513,0.14389606601403132,0.003403575932933789
0.8,100,2,harmonic,0.07019871088698425,0.06932917493922512,0.000869535947759116
0.8,100,5,original,0.027809667124253666,0.027707764591493482,0.00010190253276018246
0.8,100,5,harmonic,0.012845511417782405,0.012803625555178852,4.188586260355218e-05
0.8,100,10,original,0.010290039922288271,0.010255205896607628,3.483402568064172e-05
0.8,100,10,harmonic,0.006483870122024188,0.00647478028335542,9.089838668768097e-06
0.8,100,20,original,0.004687695396268211,0.0046663679841908185,2.1327412077393632e-05
0.8,100,20,harmonic,0.002873149687834221,0.0028629963913508324,1.0153296483389095e-05
0.8,100,50,original,0.0026006622250698244,0.002550243425924026,5.041879914579837e-05
0.8,100,50,harmonic,0.0013666517857891366,0.001342648418244456,2.4003367544680543e-05
0.8,100,100,original,0.0012398846307058865,0.0012367402528640325,3.14437784185431e-06
0.8,100,100,harmonic,0.000586205079933391,0.0005802726280920939,5.932451841297086e-06
0.9,1,2,original,0.12928319898689303,0.1196868450845438,inf
0.9,1,2,harmonic,0.10095016871073637,0.09438761842731762,inf
0.9,1,5,original,0.07280504100141318,0.06975693486598837,0.003048106135424797
0.9,1,5,harmonic,0.07581964585674264,0.07249585556761058,0.0033237902891320587
0.9,1,10,original,0.017908655655970124,0.017221678762923992,0.0006869768930461338
0.9,1,10,harmonic,0.01346989510746872,0.012635235812870266,0.0008346592945984548
0.9,1,20,original,0.0062378056372588905,0.006225062685849918,1.2742951408973471e-05
0.9,1,20,harmonic,0.004131529951782152,0.004125512545533163,6.017406248987194e-06
0.9,1,50,original,0.0033082626072918273,0.003281872807990633,2.6389799301194582e-05
0.9,1,50,harmonic,0.0018678083428926543,0.0018591626609026006,8.645681990053467e-06
0.9,1,100,original,0.002103681863526318,0.0020925247079749635,1.1157155551354985e-05
0.9,1,100,harmonic,0.0008642769439668161,0.0008567749038251466,7.502040141669587e-06
