config,position_k,imbalance_ratio,traffic_split,alpha,beta,D_k,D_kp,term1,term2,total
adversarial_mixed,2,100,,1.0,2.0000000000000004,-4.6434723013598356e-05,-1.336875064455724e-05,-0.00011960694731631122,4.6434723013598376e-05,-7.317222430271283e-05
systematic,3,1,0.6,2.0000000000000004,3.0,5.676383693175137e-06,-0.0007756724315426664,-0.002309988143548474,-5.676383693175135e-06,-0.002315664527241649
systematic,3,1,0.8,2.0000000000000004,3.0,-5.368019827131697e-06,-0.0007172187251890425,-0.0021677602350485227,5.368019827131694e-06,-0.002162392215221391
systematic,3,1,0.95,2.0000000000000004,3.0,2.102938557427752e-05,-0.0009012579652896275,-0.00264068573914605,-2.102938557427751e-05,-0.0026617151247203276
systematic,3,2,0.6,2.0000000000000004,3.0,1.1845375625350071e-06,-0.00037823235048528526,-0.0011311434387682507,-1.1845375625350067e-06,-0.0011323279763307858
systematic,3,2,0.8,2.0000000000000004,3.0,1.138253926405246e-05,-0.000547939940946608,-0.0016096722050476665,-1.1382539264052455e-05,-0.0016210547443117188
systematic,3,2,0.95,2.0000000000000004,3.0,5.4437240287040544e-05,-0.0010069318906606758,-0.002857483951120906,-5.4437240287040517e-05,-0.0029119211914079464
systematic,3,5,0.6,2.0000000000000004,3.0,3.1928256726943113e-06,-0.0002582647658338652,-0.0007652158204835126,-3.19282567269431e-06,-0.0007684086461562069
systematic,3,5,0.8,2.0000000000000004,3.0,5.017893288890703e-06,-0.0007204291734398076,-0.002146233840452751,-5.0178932888907e-06,-0.0021512517337416415
systematic,3,5,0.95,2.0000000000000004,3.0,4.158197204908175e-06,-0.0006500741004921101,-0.0019377477098616058,-4.158197204908173e-06,-0.001941905907066514
systematic,3,10,0.6,2.0000000000000004,3.0,-2.950692740492648e-05,-0.0006331277810176429,-0.001987904125267708,2.9506927404926466e-05,-0.0019583971978627815
systematic,3,10,0.8,2.0000000000000004,3.0,-2.4504178071254636e-06,-0.0008063021153129782,-0.0024262575993603108,2.4504178071254623e-06,-0.0024238071815531853
systematic,3,10,0.95,2.0000000000000004,3.0,8.77751959347106e-06,-0.0008440868725774711,-0.002505928058952,-8.777519593471057e-06,-0.002514705578545471
systematic,3,20,0.6,2.0000000000000004,3.0,-4.726213485118971e-05,-0.0005839842006223041,-0.0018937390064204815,4.726213485118969e-05,-0.0018464768715692919
systematic,3,20,0.8,2.0000000000000004,3.0,-2.082649671159726e-05,-0.0005846547042086034,-0.001816443602760602,2.082649671159725e-05,-0.0017956171060490047
systematic,3,20,0.95,2.0000000000000004,3.0,3.711585265433494e-06,-0.0007870075393129347,-0.0023498878621425034,-3.7115852654334924e-06,-0.0023535994474079367
systematic,3,50,0.6,2.0000000000000004,3.0,6.452931014518191e-06,-0.0007168392548602499,-0.002131158971537195,-6.452931014518188e-06,-0.0021376119025517133
systematic,3,50,0.8,2.0000000000000004,3.0,-2.0072807333872708e-05,-0.0006520904072717891,-0.0020164896438169856,2.0072807333872698e-05,-0.001996416836483113
systematic,3,50,0.95,2.0000000000000004,3.0,-3.026443039728745e-06,-0.00046691080592112775,-0.0014098117468825696,3.026443039728744e-06,-0.0014067853038428409
systematic,3,100,0.6,2.0000000000000004,3.0,-6.108569622017998e-05,-0.00038907174719649527,-0.0013504723302500258,6.108569622017995e-05,-0.0012893866340298458
systematic,3,100,0.8,2.0000000000000004,3.0,-2.1032030948260472e-05,-0.0007779225758870454,-0.0023968638205059175,2.1032030948260462e-05,-0.0023758317895576572
systematic,3,100,0.95,2.0000000000000004,3.0,-1.9602684560418103e-05,-0.0008758181236755221,-0.0026862624247078206,1.9602684560418093e-05,-0.0026666597401474026
adversarial_mixed,3,1,,2.0000000000000004,3.0,-2.8087774905444598e-05,-3.7932905246740594e-05,-0.00019806204045655557,2.8087774905444584e-05,-0.00016997426555111098
adversarial_mixed,3,2,,2.0000000000000004,3.0,-2.9797338411600256e-05,-2.245825900890541e-05,-0.000156766792261517,2.9797338411600242e-05,-0.00012696945384991674
adversarial_mixed,3,5,,2.0000000000000004,3.0,-1.705696977832822e-05,-3.470720939487804e-05,-0.00015529253751961878,1.7056969778328212e-05,-0.00013823556774129057
adversarial_mixed,3,10,,2.0000000000000004,3.0,-2.6341400109818362e-05,-3.140421839493442e-05,-0.00017323685551425835,2.6341400109818352e-05,-0.00014689545540443998
adversarial_mixed,3,20,,2.0000000000000004,3.0,-4.0736417490834476e-05,-8.703356937002485e-06,-0.00014831932328351088,4.0736417490834456e-05,-0.00010758290579267643
adversarial_mixed,3,50,,2.0000000000000004,3.0,-3.350035830270153e-05,-1.8148344878358676e-05,-0.00015494610954318061,3.3500358302701515e-05,-0.0001214457512404791
adversarial_mixed,3,100,,2.0000000000000004,3.0,-4.0704844404070776e-05,-7.708298866479946e-06,-0.00014523942981165217,4.0704844404070756e-05,-0.00010453458540758142
systematic,4,1,0.6,3.0,4.0,7.947800711821619e-07,-0.0005669056590194053,-0.0022644435157928924,-7.947800711821619e-07,-0.0022652382958640747
systematic,4,1,0.8,3.0,4.0,4.0997589224501304e-05,-0.0006741376656702716,-0.0025325603057830813,-4.0997589224501304e-05,-0.0025735578950075826
systematic,4,1,0.95,3.0,4.0,3.0776814900309115e-05,-0.0009460848996060471,-0.003661232338822952,-3.0776814900309115e-05,-0.003692009153723261
systematic,4,2,0.6,3.0,4.0,-5.717321277787495e-07,-0.00031530536658771384,-0.0012635083948619704,5.717321277787495e-07,-0.0012629366627341916
systematic,4,2,0.8,3.0,4.0,2.3138906487919742e-05,-0.0006162751020938396,-0.0023725447824236795,-2.3138906487919742e-05,-0.0023956836889115992
systematic,4,2,0.95,3.0,4.0,2.283836728446723e-05,-0.0008599287319725725,-0.0033483614587524213,-2.283836728446723e-05,-0.0033711998260368883
systematic,4,5,0.6,3.0,4.0,1.4504214316759606e-05,-0.0005661212079694064,-0.0022064679746105873,-1.4504214316759606e-05,-0.0022209721889273467
systematic,4,5,0.8,3.0,4.0,7.3235124425855415e-06,-0.0005973023228784965,-0.002359915241743644,-7.3235124425855415e-06,-0.0023672387541862293
systematic,4,5,0.95,3.0,4.0,2.8203634167994716e-05,-0.0011207200757761828,-0.004370065766432753,-2.8203634167994716e-05,-0.004398269400600748
systematic,4,10,0.6,3.0,4.0,-2.0204926238763787e-05,-0.000463518144841424,-0.001934892284320751,2.0204926238763787e-05,-0.0019146873580819872
systematic,4,10,0.8,3.0,4.0,-1.6797106926030362e-05,-0.0005723794130632054,-0.002356706079956943,1.6797106926030362e-05,-0.0023399089730309127
systematic,4,10,0.95,3.0,4.0,5.913718250345046e-06,-0.0005969739263459037,-0.002364240832382235,-5.913718250345046e-06,-0.00237015455063258
systematic,4,20,0.6,3.0,4.0,-3.6143784389913844e-05,-0.00042834155781734076,-0.0018579413688290184,3.6143784389913844e-05,-0.0018217975844391045
systematic,4,20,0.8,3.0,4.0,-3.849626121430117e-06,-0.0007117411960010789,-0.002862363288490036,3.849626121430117e-06,-0.0028585136623686057
systematic,4,20,0.95,3.0,4.0,4.83817363276259e-06,-0.000809706224316028,-0.0032194722027330614,-4.83817363276259e-06,-0.003224310376365824
systematic,4,50,0.6,3.0,4.0,-2.478799613705131e-05,-0.0005990620010445771,-0.0024953999887265136,2.478799613705131e-05,-0.002470611992589462
systematic,4,50,0.8,3.0,4.0,-4.961944168087406e-05,-0.0004828180739475347,-0.002129750062513635,4.961944168087406e-05,-0.002080130620832761
systematic,4,50,0.95,3.0,4.0,-7.734571403271867e-06,-0.000860740149616469,-0.0034738988840789633,7.734571403271867e-06,-0.003466164312675691
systematic,4,100,0.6,3.0,4.0,-7.581218263335175e-05,-0.00041206670881190034,-0.0019515155657810084,7.581218263335175e-05,-0.0018757033831476567
systematic,4,100,0.8,3.0,4.0,-2.3129071245247144e-05,-0.0009086440216784626,-0.003727092371694839,2.3129071245247144e-05,-0.0037039633004495916
systematic,4,100,0.95,3.0,4.0,-1.2879660809244743e-05,-0.0006861124416325669,-0.0027959684097672464,1.2879660809244743e-05,-0.0027830887489580015
adversarial_mixed,4,1,,3.0,4.0,-3.40932640193691e-05,-3.096562697953143e-05,-0.0002602355639956021,3.40932640193691e-05,-0.000226142299976233
adversarial_mixed,4,2,,3.0,4.0,-3.6466246991290186e-05,-9.799482716646012e-06,-0.0001850629188317448,3.6466246991290186e-05,-0.0001485966718404546
