config,position_k,imbalance_ratio,traffic_split,alpha,beta,D_k,D_kp,term1,term2,total
systematic,7,1,0.8,6.000000000000001,7.0,7.289628474004559e-06,-0.0007886450313278146,-0.00546948781997667,-7.289628474004552e-06,-0.0054767774484506745
systematic,7,1,0.95,6.000000000000001,7.0,-4.0700128513910735e-06,-0.00026136955531344975,-0.0018580769771538858,4.07001285139107e-06,-0.0018540069643024947
systematic,7,2,0.6,6.000000000000001,7.0,1.5923498979108185e-05,-0.0005214906495007323,-0.0035389700536513687,-1.592349897910817e-05,-0.003554893552630477
systematic,7,2,0.8,6.000000000000001,7.0,1.2299418483060825e-05,-0.0005502291140342059,-0.0037655078688580155,-1.2299418483060815e-05,-0.003777807287341076
systematic,7,2,0.95,6.000000000000001,7.0,4.272909589378074e-05,-0.0013375564383786614,-0.009063791397394164,-4.27290958937807e-05,-0.009106520493287945
systematic,7,5,0.6,6.000000000000001,7.0,-5.29917209552913e-06,-0.0005716201881827957,-0.0040384355219482745,5.299172095529125e-06,-0.004033136349852745
systematic,7,5,0.8,6.000000000000001,7.0,2.3263449763945065e-05,-0.0007703910966789982,-0.005229893528405372,-2.3263449763945045e-05,-0.0052531569781693165
systematic,7,5,0.95,6.000000000000001,7.0,2.9465338536136952e-05,-0.0009620049943063682,-0.006527777590391619,-2.9465338536136925e-05,-0.0065572429289277555
systematic,7,10,0.6,6.000000000000001,7.0,-4.1257599654887054e-05,-0.0006243383441452024,-0.004659171606600626,4.125759965488702e-05,-0.004617914006945739
systematic,7,10,0.8,6.000000000000001,7.0,-3.092150997018522e-05,-0.000620606002608984,-0.004560692588054185,3.092150997018519e-05,-0.0045297710780839995
systematic,7,10,0.95,6.000000000000001,7.0,1.6592891614108127e-05,-0.001068142672749595,-0.007360848467948407,-1.6592891614108113e-05,-0.007377441359562515
systematic,7,20,0.6,6.000000000000001,7.0,-2.677893798328903e-05,-0.0006352768364679284,-0.004634390421158522,2.6778937983289005e-05,-0.004607611483175233
systematic,7,20,0.8,6.000000000000001,7.0,-2.306490118985956e-05,-0.00047202779575863073,-0.003465648878639432,2.306490118985954e-05,-0.0034425839774495726
systematic,7,20,0.95,6.000000000000001,7.0,5.264777196876242e-06,-0.0005148747744754976,-0.0035672699809503497,-5.264777196876237e-06,-0.003572534758147226
systematic,7,50,0.6,6.000000000000001,7.0,-1.9636968317226437e-05,-0.0006704707036453458,-0.004830753703738006,1.963696831722642e-05,-0.00481111673542078
systematic,7,50,0.8,6.000000000000001,7.0,-2.5096717892408285e-05,-0.0008158638333836448,-0.005886723858932371,2.509671789240826e-05,-0.005861627141039963
systematic,7,50,0.95,6.000000000000001,7.0,4.163756328889949e-06,-0.000605779591021384,-0.004211310842847459,-4.163756328889946e-06,-0.004215474599176349
systematic,7,100,0.6,6.000000000000001,7.0,-1.3637462934780752e-05,-0.0006558352584516912,-0.004686309049705303,1.363746293478074e-05,-0.004672671586770522
systematic,7,100,0.8,6.000000000000001,7.0,-1.4731433521194683e-05,-0.0007435715992407166,-0.0053081212293333785,1.473143352119467e-05,-0.005293389795812184
systematic,7,100,0.95,6.000000000000001,7.0,-3.412705719026644e-06,-0.0005486294016196782,-0.003864294751370934,3.412705719026641e-06,-0.0038608820456519075
adversarial_mixed,7,1,,6.000000000000001,7.0,-3.479055073434955e-05,-4.505555982722148e-05,-0.0005589227739309972,3.479055073434951e-05,-0.0005241322231966476
adversarial_mixed,7,2,,6.000000000000001,7.0,-3.1753202828662644e-05,-3.023229384230172e-05,-0.00043389847669675054,3.175320282866262e-05,-0.00040214527386808795
adversarial_mixed,7,5,,6.000000000000001,7.0,-4.024312844230733e-05,-1.0379904524599024e-05,-0.00035436123076834446,4.0243128442307294e-05,-0.0003141181023260372
adversarial_mixed,7,10,,6.000000000000001,7.0,-2.267293287323732e-05,-2.6131234863915084e-05,-0.0003416291741600668,2.26729328732373e-05,-0.0003189562412868295
adversarial_mixed,7,20,,6.000000000000001,7.0,1.0512007983932265e-05,-6.794475278524236e-05,-0.00040202921360917064,-1.0512007983932255e-05,-0.0004125412215931029
adversarial_mixed,7,50,,6.000000000000001,7.0,-1.2588638965223785e-05,-5.09300831647633e-05,-0.0004446310549099096,1.2588638965223773e-05,-0.0004320424159446858
adversarial_mixed,7,100,,6.000000000000001,7.0,-3.161061179700721e-05,-2.2746935951857794e-05,-0.000380502834242055,3.1610611797007183e-05,-0.0003488922224450478
systematic,8,1,0.6,7.0,8.0,1.4228303979802023e-05,-0.0009339122389493336,-0.007357471479756253,-1.4228303979802023e-05,-0.007371699783736055
systematic,8,1,0.8,7.0,8.0,3.930075303695542e-06,-0.0005484909218501832,-0.004356486772371901,-3.930075303695542e-06,-0.004360416847675597
systematic,8,1,0.95,7.0,8.0,-1.1234275412379637e-05,-0.000370044304959633,-0.003050228642976101,1.1234275412379637e-05,-0.0030389943675637214
systematic,8,2,0.6,7.0,8.0,-5.3859407286046645e-06,-0.0004242209130741292,-0.003436854830421871,5.3859407286046645e-06,-0.0034314688896932666
systematic,8,2,0.8,7.0,8.0,2.503920191949976e-05,-0.0007725071365781426,-0.0059797434772691435,-2.503920191949976e-05,-0.006004782679188643
systematic,8,2,0.95,7.0,8.0,2.478629360292965e-05,-0.0007317774082430483,-0.005655928917120949,-2.478629360292965e-05,-0.005680715210723879
systematic,8,5,0.6,7.0,8.0,1.655020852252872e-05,-0.0010512211545934743,-0.008277367568567565,-1.655020852252872e-05,-0.008293917777090093
systematic,8,5,0.8,7.0,8.0,1.6370381068904195e-05,-0.0006710211445226158,-0.005237206107629693,-1.6370381068904195e-05,-0.005253576488698597
systematic,8,5,0.95,7.0,8.0,1.0983375359798351e-05,-0.000802217128091813,-0.006329870021856117,-1.0983375359798351e-05,-0.006340853397215915
systematic,8,10,0.6,7.0,8.0,-2.7204040476021046e-05,-0.00049123719499594,-0.0041475298837756885,2.7204040476021046e-05,-0.004120325843299667
systematic,8,10,0.8,7.0,8.0,-1.2139731116837576e-05,-0.0005016137188444295,-0.0041100275996901366,1.2139731116837576e-05,-0.004097887868573299
systematic,8,10,0.95,7.0,8.0,9.10220529870441e-06,-0.0007813899190317906,-0.006178301709864689,-9.10220529870441e-06,-0.006187403915163394
systematic,8,20,0.6,7.0,8.0,9.45285928607043e-07,-0.000712157858575141,-0.005689700581172272,-9.45285928607043e-07,-0.005690645867100879
systematic,8,20,0.8,7.0,8.0,-2.6262448941129213e-06,-0.0009215457326487723,-0.007393375820343082,2.6262448941129213e-06,-0.007390749575448969
systematic,8,20,0.95,7.0,8.0,-5.391683953173268e-06,-0.000648951212734199,-0.005234743173498978,5.391683953173268e-06,-0.005229351489545805
systematic,8,50,0.6,7.0,8.0,-7.126346474849521e-05,-0.0003168421690518859,-0.003104845070403049,7.126346474849521e-05,-0.003033581605654554
systematic,8,50,0.8,7.0,8.0,-2.5842385151227373e-05,-0.0006701697692684314,-0.00556809723535727,2.5842385151227373e-05,-0.005542254850206043
systematic,8,50,0.95,7.0,8.0,-2.5653361101611943e-06,-0.0008081754011034641,-0.006485925897709003,2.5653361101611943e-06,-0.006483360561598842
systematic,8,100,0.6,7.0,8.0,-4.1654292196778564e-05,-0.0005093514914958141,-0.004408046269540741,4.1654292196778564e-05,-0.0043663919773439626
systematic,8,100,0.8,7.0,8.0,-2.552535063728727e-05,-0.000646067844704011,-0.0053727455627303865,2.552535063728727e-05,-0.005347220212093099
systematic,8,100,0.95,7.0,8.0,-1.3169504506196312e-05,-0.00035564559247807965,-0.0029505207758742076,1.3169504506196312e-05,-0.0029373512713680113
adversarial_mixed,8,1,,7.0,8.0,-4.04350588647693e-05,-3.241635269183912e-05,-0.0005828112924528674,4.04350588647693e-05,-0.0005423762335880981
adversarial_mixed,8,2,,7.0,8.0,-3.858534947221744e-05,-1.4661761214509626e-05,-0.0004259768854938165,3.858534947221744e-05,-0.0003873915360215991
adversarial_mixed,8,5,,7.0,8.0,-5.282844389517999e-05,1.4700452884631359e-06,-0.0004108671888537348,5.282844389517999e-05,-0.00035803874495855483
adversarial_mixed,8,10,,7.0,8.0,-2.2160926207261675e-05,-3.7560875942719006e-05,-0.00047777441719984545,2.2160926207261675e-05,-0.0004556134909925838
adversarial_mixed,8,20,,7.0,8.0,-5.7018279315301616e-05,-3.4370257060098723e-06,-0.0004836424401704919,5.7018279315301616e-05,-0.0004266241608551903
adversarial_mixed,8,50,,7.0,8.0,-3.5157432406809756e-05,-2.0044435395074635e-05,-0.0004416149424150751,3.5157432406809756e-05,-0.00040645751000826537
adversarial_mixed,8,100,,7.0,8.0,-8.839784774975596e-06,-4.541097389019173e-05,-0.0004340060693213386,8.839784774975596e-06,-0.000425166284546363
systematic,9,1,0.6,8.0,9.0,-2.0782562430278083e-05,-0.00045043758299130035,-0.004240981308794206,2.0782562430278083e-05,-0.004220198746363928
systematic,9,1,0.8,8.0,9.0,2.0636791376547718e-05,-0.00072088325466232,-0.00630221816957195,-2.0636791376547718e-05,-0.006322854960948498
systematic,9,1,0.95,8.0,9.0,1.528472685659733e-05,-0.0007881543298675602,-0.006955826427098666,-1.528472685659733e-05,-0.006971111153955264
systematic,9,2,0.6,8.0,9.0,5.579014606020354e-06,-0.0004051375504979766,-0.003596026823027606,-5.579014606020354e-06,-0.0036016058376336264
systematic,9,2,0.8,8.0,9.0,1.2829483444395961e-05,-0.0007773236141818095,-0.006880447176636721,-1.2829483444395961e-05,-0.006893276660081118
systematic,9,2,0.95,8.0,9.0,1.5900024963392038e-05,-0.0005486043856336795,-0.0047943392460325866,-1.5900024963392038e-05,-0.004810239270995978
systematic,9,5,0.6,8.0,9.0,-3.4055014532021675e-05,-0.0003521549437548729,-0.0034758896245820512,3.4055014532021675e-05,-0.0034418346100500295
systematic,9,5,0.8,8.0,9.0,-1.1571998516582963e-05,-0.0005387692711268814,-0.004953071426791179,1.1571998516582963e-05,-0.004941499428274596
systematic,9,5,0.95,8.0,9.0,1.648727908354182e-05,-0.0008334442141431128,-0.007352612415536139,-1.648727908354182e-05,-0.007369099694619681
systematic,9,10,0.6,8.0,9.0,-2.6794123246225848e-05,-0.00040795910179547206,-0.003912779025375282,2.6794123246225848e-05,-0.003885984902129056
systematic,9,10,0.8,8.0,9.0,-5.507861595782675e-06,-0.000570521663482106,-0.005184265725700998,5.507861595782675e-06,-0.005178757864105215
systematic,9,10,0.95,8.0,9.0,-1.4126557048479006e-06,-0.0010476365866915476,-0.00944144318156756,1.4126557048479006e-06,-0.009440030525862713
systematic,9,20,0.6,8.0,9.0,-2.4352790733964417e-05,-0.00044324677834421287,-0.004208396121703596,2.4352790733964417e-05,-0.004184043330969631
systematic,9,20,0.8,8.0,9.0,-2.1896972438007243e-05,-0.0005441012331150874,-0.005093983849977852,2.1896972438007243e-05,-0.0050720868775398446
systematic,9,20,0.95,8.0,9.0,-2.9958959958921734e-06,-0.0006475868876021196,-0.005855245052382106,2.9958959958921734e-06,-0.005852249156386213
systematic,9,50,0.6,8.0,9.0,-3.303884319060915e-05,-0.0005210942622626219,-0.00498719794907908,3.303884319060915e-05,-0.00495415910588847
systematic,9,50,0.8,8.0,9.0,-2.697851876360271e-05,-0.0009698658176294472,-0.008971599027537448,2.697851876360271e-05,-0.008944620508773846
systematic,9,50,0.95,8.0,9.0,1.0274567581578213e-05,-0.0010097201907219152,-0.008995010608263031,-1.0274567581578213e-05,-0.00900528517584461
systematic,9,100,0.6,8.0,9.0,-1.6045172595114483e-06,-0.000687667119571216,-0.006203444731476547,1.6045172595114483e-06,-0.006201840214217035
systematic,9,100,0.8,8.0,9.0,2.2200116481647215e-06,-0.00039119378528287407,-0.003500763962712384,-2.2200116481647215e-06,-0.0035029839743605487
systematic,9,100,0.95,8.0,9.0,1.971009000204958e-06,-0.0007831831651625916,-0.0070309094054614805,-1.971009000204958e-06,-0.0070328804144616855
adversarial_mixed,9,1,,8.0,9.0,-3.330614029492865e-05,-4.572546388615457e-05,-0.000711284437629749,3.330614029492865e-05,-0.0006779782973348204
adversarial_mixed,9,2,,8.0,9.0,-2.1393238829871004e-05,-2.991401609024635e-05,-0.00046176529428105617,2.1393238829871004e-05,-0.00044037205545118517
adversarial_mixed,9,5,,8.0,9.0,-2.8170701345494643e-05,-2.5286076744803073e-05,-0.00048111100281267945,2.8170701345494643e-05,-0.0004529403014671848
adversarial_mixed,9,10,,8.0,9.0,-8.876766200753398e-06,-3.3205747057997025e-05,-0.0003787426193287538,8.876766200753398e-06,-0.0003698658531280004
adversarial_mixed,9,20,,8.0,9.0,-4.102720730604333e-05,-2.566871653796065e-05,-0.0006002633145960358,4.102720730604333e-05,-0.0005592361072899925
adversarial_mixed,9,50,,8.0,9.0,-3.8892001124960916e-05,-1.8813012553749826e-05,-0.0005193451231083967,3.8892001124960916e-05,-0.00048045312198343577
adversarial_mixed,9,100,,8.0,9.0,-5.434090982349589e-05,-5.500978192425903e-06,-0.0005385769921432962,5.434090982349589e-05,-0.00048423608231980026
