alpha,beta,rho,worst_ratio,M,b0,frac,harmonic_loses
1.2992632226094094,0.25487871847306215,5.097574369461243,1.3218325180427075,200,5,0.7000000000000001,1
1.2992632226094094,0.4386533310618707,2.961936295945174,1.1039353133828618,200,5,0.75,1
1.2992632226094094,0.7549345273093543,1.7210276859903137,1.0094313899435063,5,2,0.55,1
1.2992632226094094,1.2992632226094094,1.0,1.0000000000000002,10,2,1.0,1
1.2992632226094094,2.2360679774997894,0.5810481772840164,1.0000000000000002,2,2,1.0,1
1.2992632226094094,3.8483348970335034,0.3376169843250776,1.0000000000000004,10,2,1.0,1
1.2992632226094094,6.623090902757343,0.1961717333622126,1.0000000000000004,2,2,1.0,1
1.2992632226094094,11.398522810475967,0.11398522810475967,1.0000000000000007,2,2,1.0,1
1.2992632226094094,19.61717333622126,0.06623090902757343,1.0000000000000007,10,2,1.0,1
1.2992632226094094,33.76169843250776,0.038483348970335035,1.0000000000000002,10,2,1.0,1
1.2992632226094094,58.10481772840162,0.022360679774997897,1.0000000000000007,2,2,1.0,1
1.2992632226094094,100.0,0.012992632226094094,1.0000000000000004,10,2,1.0,1
2.2360679774997894,0.05,44.72135954999578,5.012589296643316,200,20,0.9,1
2.2360679774997894,0.08605138429951567,25.98526445218819,3.503439803178898,200,20,0.9,1
2.2360679774997894,0.14809681479725867,15.098690546187086,2.391182043833737,200,20,0.9,1
2.2360679774997894,0.25487871847306215,8.773066621237414,1.6379841438286469,200,20,0.9,1
2.2360679774997894,0.4386533310618707,5.097574369461243,1.321832518042707,200,5,0.7000000000000001,1
2.2360679774997894,0.7549345273093543,2.961936295945174,1.103935313382862,200,5,0.75,1
2.2360679774997894,1.2992632226094094,1.7210276859903135,1.0094313899435066,5,2,0.55,1
2.2360679774997894,2.2360679774997894,1.0,1.0000000000000004,2,2,1.0,1
2.2360679774997894,3.8483348970335034,0.5810481772840163,1.0000000000000004,2,2,1.0,1
2.2360679774997894,6.623090902757343,0.33761698432507753,1.0000000000000004,10,2,1.0,1
2.2360679774997894,11.398522810475967,0.19617173336221258,1.0000000000000004,10,2,1.0,1
2.2360679774997894,19.61717333622126,0.11398522810475965,1.0000000000000004,50,2,1.0,1
2.2360679774997894,33.76169843250776,0.06623090902757342,1.0000000000000004,10,2,1.0,1
2.2360679774997894,58.10481772840162,0.038483348970335035,1.0000000000000004,10,2,1.0,1
2.2360679774997894,100.0,0.022360679774997894,1.0000000000000004,2,2,1.0,1
3.8483348970335034,0.05,76.96669794067006,6.841059036658711,200,20,0.9,1
3.8483348970335034,0.08605138429951567,44.721359549995796,5.012589296643318,200,20,0.9,1
3.8483348970335034,0.14809681479725867,25.98526445218819,3.5034398031789,200,20,0.9,1
3.8483348970335034,0.25487871847306215,15.098690546187086,2.391182043833736,200,20,0.9,1
3.8483348970335034,0.4386533310618707,8.773066621237415,1.637984143828647,200,20,0.9,1
3.8483348970335034,0.7549345273093543,5.097574369461244,1.3218325180427073,200,5,0.7000000000000001,1
3.8483348970335034,1.2992632226094094,2.9619362959451734,1.1039353133828615,200,5,0.75,1
3.8483348970335034,2.2360679774997894,1.7210276859903137,1.0094313899435066,5,2,0.55,1
3.8483348970335034,3.8483348970335034,1.0,1.0000000000000004,10,2,1.0,1
3.8483348970335034,6.623090902757343,0.5810481772840161,1.0000000000000007,10,2,1.0,1
3.8483348970335034,11.398522810475967,0.33761698432507753,1.0000000000000007,2,2,1.0,1
3.8483348970335034,19.61717333622126,0.19617173336221258,1.0000000000000004,10,2,1.0,1
3.8483348970335034,33.76169843250776,0.11398522810475967,1.0000000000000004,50,2,1.0,1
3.8483348970335034,58.10481772840162,0.06623090902757342,1.0000000000000004,10,2,1.0,1
3.8483348970335034,100.0,0.038483348970335035,1.0000000000000004,10,2,1.0,1
6.623090902757343,0.05,132.46181805514686,8.775453203604743,200,20,0.9,1
6.623090902757343,0.08605138429951567,76.96669794067009,6.841059036658712,200,20,0.9,1
6.623090902757343,0.14809681479725867,44.721359549995796,5.012589296643317,200,20,0.9,1
6.623090902757343,0.25487871847306215,25.98526445218819,3.503439803178898,200,20,0.9,1
6.623090902757343,0.4386533310618707,15.09869054618709,2.3911820438337363,200,20,0.9,1
6.623090902757343,0.7549345273093543,8.773066621237417,1.6379841438286473,200,20,0.9,1
6.623090902757343,1.2992632226094094,5.097574369461243,1.3218325180427075,200,5,0.7000000000000001,1
6.623090902757343,2.2360679774997894,2.9619362959451743,1.103935313382862,200,5,0.75,1
6.623090902757343,3.8483348970335034,1.7210276859903137,1.0094313899435066,5,2,0.55,1
6.623090902757343,6.623090902757343,1.0,1.0000000000000002,2,5,0.0,1
6.623090902757343,11.398522810475967,0.5810481772840163,1.0000000000000007,50,2,1.0,1
6.623090902757343,19.61717333622126,0.3376169843250776,1.0000000000000002,2,2,1.0,1
6.623090902757343,33.76169843250776,0.1961717333622126,1.0000000000000007,2,2,1.0,1
6.623090902757343,58.10481772840162,0.11398522810475968,1.0000000000000004,2,2,1.0,1
6.623090902757343,100.0,0.06623090902757343,1.0000000000000002,2,5,0.0,1
11.398522810475967,0.05,227.97045620951934,10.549335300976407,200,20,0.9,1
11.398522810475967,0.08605138429951567,132.46181805514686,8.775453203604739,200,20,0.9,1
11.398522810475967,0.14809681479725867,76.96669794067007,6.841059036658712,200,20,0.9,1
11.398522810475967,0.25487871847306215,44.721359549995796,5.012589296643316,200,20,0.9,1
11.398522810475967,0.4386533310618707,25.98526445218819,3.5034398031788987,200,20,0.9,1
11.398522810475967,0.7549345273093543,15.09869054618709,2.391182043833737,200,20,0.9,1
11.398522810475967,1.2992632226094094,8.773066621237415,1.6379841438286469,200,20,0.9,1
11.398522810475967,2.2360679774997894,5.097574369461244,1.3218325180427077,200,5,0.7000000000000001,1
11.398522810475967,3.8483348970335034,2.961936295945174,1.1039353133828618,200,5,0.75,1
11.398522810475967,6.623090902757343,1.7210276859903135,1.0094313899435066,5,2,0.55,1
11.398522810475967,11.398522810475967,1.0,1.0000000000000004,50,2,1.0,1
11.398522810475967,19.61717333622126,0.5810481772840163,1.0000000000000007,50,2,1.0,1
11.398522810475967,33.76169843250776,0.3376169843250776,1.0000000000000002,10,2,1.0,1
11.398522810475967,58.10481772840162,0.1961717333622126,1.0000000000000004,50,2,1.0,1
11.398522810475967,100.0,0.11398522810475967,1.0000000000000004,2,2,1.0,1
19.61717333622126,0.05,392.3434667244252,12.222212949058877,200,20,0.9500000000000001,1
