f,rep,n_imp,n_pairs,n_queries,scheme,Vk_plus_Vkp,asym_aVk_bVkp_at_05_1,R_hat,click_std,qad_std,query_std
0.1,0,23564313,542465,259336,oracle_a0.1_b0.7,8.005044087858635e-07,5.428496084955241e-07,1.7213707567961003,0.0064849083560996204,0.018688443800428417,0.031147412071619807
0.1,0,23564313,542465,259336,oracle_a0.05_b1.0,9.850515077771242e-07,6.264533034451952e-07,1.7234833605832385,0.006938352535702226,0.02060133928983939,0.03306022444016754
0.1,0,23564313,542465,259336,full_oracle,1.6750098748374518e-06,1.2191402312990776e-06,1.6805545002436835,8.39701241825711e-09,0.02944609692560169,0.028227834208938662
0.1,1,23563585,541936,259048,uniform,2.3226094063767726e-06,1.760603151642384e-06,1.5493063279563142,0.005162092010842051,0.012601801619361456,0.013942217901723656
0.1,1,23563585,541936,259048,harmonic,6.709728237904063e-07,5.192016033850297e-07,1.7213705127933467,0.006330659354489742,0.021091636132704022,0.027312853717053515
0.1,1,23563585,541936,259048,oracle_a0.5_b1.0,6.873660468268139e-07,5.074528100989034e-07,1.7249256836031086,0.006439583451433788,0.020050605760480834,0.026989736021595483
0.1,1,23563585,541936,259048,oracle_a0.1_b0.7,8.018913892961528e-07,5.43548950125012e-07,1.7322538896440929,0.006922915852165193,0.0202451454893044,0.02763569323423867
0.1,1,23563585,541936,259048,oracle_a0.05_b1.0,9.861241335210883e-07,6.270076654297285e-07,1.7387583356456209,0.0074939078498856854,0.021986262313861547,0.02908790379945734
0.1,1,23563585,541936,259048,full_oracle,1.6536429859471206e-06,1.205402873674585e-06,1.6924918537247609,6.838954138704384e-09,0.027561945835756458,0.030357388709478957
1.0,0,235582879,4613072,2094739,uniform,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,0.001698451844268579,0.004375199551144299,0.004381467358942509
1.0,0,235582879,4613072,2094739,harmonic,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,0.0020721076946947255,0.014056973650040801,0.026088750773373127
1.0,0,235582879,4613072,2094739,oracle_a0.5_b1.0,5.5019537534377245e-08,4.054239555541747e-08,1.6830122778924699,0.0020346920047446286,0.012972197012935923,0.025923951726524192
1.0,0,235582879,4613072,2094739,oracle_a0.1_b0.7,6.423604078395434e-08,4.344733259036587e-08,1.6887837505245438,0.0020530533803538318,0.012376399885612404,0.026418468685972345
1.0,0,235582879,4613072,2094739,oracle_a0.05_b1.0,7.932764674634457e-08,5.028617928903457e-08,1.6911412422530696,0.002149423827135926,0.013019466384141712,0.027366032758940877
1.0,0,235582879,4613072,2094739,full_oracle,1.735670033791508e-07,1.2735325211116818e-07,1.740491688435064,1.3072042145470932e-07,0.010313075955260053,0.01078136049432921
1.0,1,235582879,4613072,2094739,uniform,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,0.0016170319888340013,0.004351188653166764,0.004725474627207059
1.0,1,235582879,4613072,2094739,harmonic,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,0.0018481128266976412,0.012978526924928256,0.023230479765742804
1.0,1,235582879,4613072,2094739,oracle_a0.5_b1.0,5.5019537534377245e-08,4.054239555541747e-08,1.6830122778924699,0.0018766745526657164,0.012295632355500937,0.023255942107980647
1.0,1,235582879,4613072,2094739,oracle_a0.1_b0.7,6.423604078395434e-08,4.344733259036587e-08,1.6887837505245438,0.0020098323340619426,0.012334533349650638,0.024073870113434842
1.0,1,235582879,4613072,2094739,oracle_a0.05_b1.0,7.932764674634457e-08,5.028617928903457e-08,1.6911412422530696,0.0021950869417287264,0.013354443768942681,0.02521855170406083
1.0,1,235582879,4613072,2094739,full_oracle,1.735670033791508e-07,1.2735325211116818e-07,1.740491688435064,1.4156010613164228e-07,0.010918515647686205,0.01093647162433075
