scheme,n_pairs,Vk_plus_Vkp,asym,R_hat,click_boot_std,qad_boot_std,f,rep,mode,n_imp,seed
uniform,1530220,8.05773699627465e-07,6.107558851890689e-07,1.5411096955330272,0.00288960710626185,0.00738812461081654,0.3,1,impression,70677729,300001
min,1530220,2.0594573153342497e-07,1.5743821078985185e-07,1.6917338583845636,0.003528666964760213,0.01464094580969303,0.3,1,impression,70677729,300001
harmonic,1530220,1.987909947744916e-07,1.5372345142303308e-07,1.6908509626573667,0.0034197826136715794,0.014947416614680345,0.3,1,impression,70677729,300001
uniform,1531974,8.054970456912307e-07,6.107333850951258e-07,1.5435212456321232,0.0029493045920606638,0.007259270332345971,0.3,2,impression,70675453,300002
min,1531974,2.059597114725151e-07,1.5743470809823733e-07,1.6903469941201767,0.0038016890335894967,0.014849207736996618,0.3,2,impression,70675453,300002
harmonic,1531974,1.9879012734980574e-07,1.537146623522092e-07,1.6903948924643777,0.003755533347468955,0.015858737519842,0.3,2,impression,70675453,300002
uniform,4613072,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,0.001698451844268579,0.004375199551144299,1.0,0,impression,235582879,1000000
min,4613072,5.5593898777733346e-08,4.247717604223399e-08,1.680305405765543,0.0020755778399977644,0.013360740645143192,1.0,0,impression,235582879,1000000
harmonic,4613072,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,0.0020721076946947255,0.014056973650040801,1.0,0,impression,235582879,1000000
uniform,4613072,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,0.0016170319888340013,0.004351188653166764,1.0,1,impression,235582879,1000001
min,4613072,5.5593898777733346e-08,4.247717604223399e-08,1.680305405765543,0.0018782535902958015,0.012704961851960192,1.0,1,impression,235582879,1000001
harmonic,4613072,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,0.0018481128266976412,0.012978526924928256,1.0,1,impression,235582879,1000001
uniform,4613072,2.5997654069345166e-07,1.9713266931904286e-07,1.5415161831419761,0.0015595865171913429,0.004374923502747928,1.0,2,impression,235582879,1000002
min,4613072,5.5593898777733346e-08,4.247717604223399e-08,1.680305405765543,0.002057664919205874,0.015179317606727905,1.0,2,impression,235582879,1000002
harmonic,4613072,5.369680756208591e-08,4.149137077422067e-08,1.6790349472740533,0.0020315923030261576,0.015343769974565453,1.0,2,impression,235582879,1000002
