alpha,beta,surrogate_h,surrogate_o,ratio_h_over_o
0.05,0.05,4.586357119952954e-06,1.1335820745782192e-05,0.4045897710282192
0.05,0.05,5.111429394672363e-06,1.284492308013308e-05,0.3979338266788131
0.05,0.05,4.915790172229397e-06,3.046978548642186e-05,0.16133327142785442
0.05,0.05,4.872781254063102e-06,1.0358580220867542e-05,0.47041014793193364
0.05,0.05,4.966996518534743e-06,1.1234711212411519e-05,0.44211163283373645
0.05,0.05,5.094409238246847e-06,9.244344401269613e-06,0.5510838862242284
0.05,0.05,4.821003040957946e-06,7.270891755246964e-06,0.663055262441353
0.05,0.05,4.7807169611717874e-06,1.0378208479595903e-05,0.4606495399057482
0.05,0.2811706625951745,1.5326008518135303e-05,6.452454207824746e-05,0.23752215861601614
0.05,0.2811706625951745,1.5975677594642693e-05,6.028045935242963e-05,0.26502249263299266
0.05,0.2811706625951745,1.715438223929793e-05,6.625952087541789e-05,0.2588968651245132
0.05,0.2811706625951745,1.6723520939058718e-05,3.089687021771623e-05,0.5412690936400888
0.05,0.2811706625951745,1.6577405325829633e-05,7.50929547213601e-05,0.22075846379120054
0.05,0.2811706625951745,1.5939998638352687e-05,3.364686505806261e-05,0.47374394645224377
0.05,0.2811706625951745,1.5767717027896564e-05,2.6404585820996242e-05,0.5971582790500916
0.05,0.2811706625951745,1.5566977945679e-05,3.862885804450994e-05,0.4029883028833525
0.05,0.2811706625951745,1.9302994465752323e-05,5.19005177992037e-05,0.371922965016131
0.05,0.2811706625951745,1.6955681064724663e-05,3.983238308107784e-05,0.4256757882201472
0.05,0.2811706625951745,1.635159240514694e-05,5.0403905335612086e-05,0.3244112196519419
0.05,0.2811706625951745,1.6091277457123827e-05,7.828073229554467e-05,0.20555859641644741
0.05,0.2811706625951745,1.826555960848334e-05,2.982855533440435e-05,0.6123514666972754
0.05,0.2811706625951745,1.4703290222006725e-05,2.5218635356357296e-05,0.5830327459927451
0.05,0.2811706625951745,1.4322598942506966e-05,2.3455138116732842e-05,0.6106380133523603
0.05,0.2811706625951745,1.7337583568430074e-05,3.80528896419392e-05,0.45561805506937947
0.05,0.2811706625951745,1.8267051714707274e-05,4.545144644808985e-05,0.4019025386919225
0.05,0.2811706625951745,1.6321652434769444e-05,5.42988376532845e-05,0.300589352188134
0.05,0.2811706625951745,1.590101148046026e-05,3.66210912863454e-05,0.4342036493704692
0.05,0.2811706625951745,1.5821373840881313e-05,4.932805674051437e-05,0.32073782926637817
0.05,0.2811706625951745,1.5296753997063628e-05,3.2129686285626584e-05,0.47609409756069504
0.05,0.2811706625951745,1.8370729811565136e-05,2.8983203122607693e-05,0.6338405639242636
0.05,0.2811706625951745,1.6327445106290186e-05,4.621403843816771e-05,0.35330054801714783
0.05,0.2811706625951745,1.7397815490436402e-05,0.00014987924098674825,0.11607888708199857
0.05,0.2811706625951745,1.4925500095340575e-05,2.8508579121635547e-05,0.5235441595198062
0.05,0.2811706625951745,1.5562548891279086e-05,2.975116669078282e-05,0.5230903733298131
0.05,0.2811706625951745,1.9465061731053907e-05,4.610517941574487e-05,0.42218817880592846
0.05,0.2811706625951745,1.5527416877973526e-05,3.45081442834113e-05,0.449963833188151
0.05,0.2811706625951745,1.7087126579434723e-05,0.00014682168099345986,0.1163801317613021
0.05,0.2811706625951745,1.618598086351117e-05,3.07348438687878e-05,0.5266329294728755
0.05,0.2811706625951745,1.4216925524820875e-05,3.0500450308091765e-05,0.4661218238161266
0.05,0.2811706625951745,1.979819406973011e-05,4.428086021325241e-05,0.4471050014472142
0.05,0.2811706625951745,1.9124683885778044e-05,0.00018422196250373476,0.10381326757058255
0.05,0.2811706625951745,1.5665211271772565e-05,3.931743759698882e-05,0.3984290998905866
0.05,0.2811706625951745,1.4689912431689031e-05,3.030881171743163e-05,0.48467464078244815
0.05,0.2811706625951745,1.5147352236334893e-05,5.2260627419885365e-05,0.28984252551417455
0.05,0.2811706625951745,1.579192942737846e-05,3.1981286525231036e-05,0.49378655905289215
0.05,0.2811706625951745,1.6502964446700215e-05,3.02067264229423e-05,0.54633409180566
0.05,0.2811706625951745,1.5028005774381442e-05,3.897084705914165e-05,0.3856217380026443
0.05,0.2811706625951745,1.681203278161713e-05,2.5338958719794756e-05,0.6634855428563288
0.05,0.2811706625951745,1.7695820940740662e-05,3.868784653040267e-05,0.4573999983905664
0.05,0.2811706625951745,1.6036165057669325e-05,5.083840711560111e-05,0.3154340579791337
0.05,0.2811706625951745,1.7107526459743808e-05,3.678971255188065e-05,0.4650084296151776
0.05,0.2811706625951745,1.5122207226096283e-05,4.18963237188049e-05,0.3609435359434359
0.05,0.2811706625951745,1.5440795088544985e-05,2.3258048191832137e-05,0.6638904073630543
0.05,0.2811706625951745,1.5508826873470734e-05,3.9275790016231076e-05,0.3948698897478974
0.05,0.2811706625951745,1.4181346790034635e-05,3.231900586031591e-05,0.43879279119311426
0.05,0.2811706625951745,1.6367678751607404e-05,3.268900978076428e-05,0.5007089190336657
0.05,0.2811706625951745,1.632494719118283e-05,9.855548389692747e-05,0.1656422001667202
0.05,0.2811706625951745,1.5558321661087583e-05,2.869826798013418e-05,0.5421345173812416
0.05,0.2811706625951745,1.4612859980880545e-05,3.704080573570729e-05,0.39450707646982325
0.05,0.2811706625951745,1.5187855361622662e-05,5.3357488689147916e-05,0.28464336937041107
0.05,0.2811706625951745,1.4848787430189249e-05,2.1187516622198382e-05,0.7008271754997478
0.05,0.2811706625951745,1.611999902681234e-05,7.064530882319493e-05,0.2281821580985101
0.05,0.2811706625951745,1.3716946440199658e-05,1.7736504664881493e-05,0.7733737114144811
0.05,0.2811706625951745,1.5129759088831613e-05,2.5263770075910386e-05,0.5988717853024716
0.05,0.2811706625951745,1.5412127854925954e-05,9.30040130749945e-05,0.16571465408162836
0.05,0.2811706625951745,1.649675664615113e-05,4.869244308127126e-05,0.3387950080593991
0.05,0.2811706625951745,1.5410506450789888e-05,2.6251513265838444e-05,0.5870330709980004
