scheme,n_pairs,ESS,Vk_plus_Vkp,asym,R_hat,boot_R,boot_std,f,rep,n_imp_subsample,seed
min,14821,542.7777412851361,4.0666559908584754e-05,3.117226232161416e-05,1.8270126613098747,1.8348627432544726,0.04944694187224694,0.003,1,706131,3001
harmonic,14821,386.44687130760616,3.906166761246157e-05,3.032560774845227e-05,1.8089296932934547,1.8157421852632325,0.050130330906044046,0.003,1,706131,3001
uniform,14745,14745.0,9.32838287294285e-05,7.080407359215613e-05,1.7716220857235796,1.7710373883173216,0.028584332120731155,0.003,2,706738,3002
min,14745,544.4581570866073,4.0433445722377576e-05,3.098020264176104e-05,1.898589402595812,1.8963254107652037,0.04249776567212191,0.003,2,706738,3002
harmonic,14745,393.2874944167356,3.8841582048585656e-05,3.015561141606363e-05,1.8859906412411231,1.8833278902224606,0.04389455180781786,0.003,2,706738,3002
uniform,53981,53981.0,2.482648121070687e-05,1.883600483550475e-05,1.57066088249925,1.5692045331539808,0.013704985896338243,0.01,0,2352652,10000
min,53981,850.6852431312411,9.726642360228184e-06,7.453454943108714e-06,1.7617510118044388,1.760886849150981,0.02257939480536809,0.01,0,2352652,10000
harmonic,53981,607.1423043875445,9.358330035740096e-06,7.260808107993798e-06,1.7571648845840906,1.7553299343351976,0.023328788570995684,0.01,0,2352652,10000
uniform,54010,54010.0,2.4805784857249142e-05,1.8811141426204037e-05,1.6245823801643178,1.6236232253128164,0.013441962215065002,0.01,1,2355387,10001
min,54010,836.0526177404041,9.667861601682278e-06,7.406744206520673e-06,1.8149293155259663,1.8144355704013564,0.02350761189626366,0.01,1,2355387,10001
harmonic,54010,604.1174637531956,9.305103974546295e-06,7.218379327369758e-06,1.8133144297235089,1.813720548608043,0.023603878022486095,0.01,1,2355387,10001
uniform,53910,53910.0,2.486034524083369e-05,1.8855748486949735e-05,1.6726608142833352,1.6737497681318907,0.014124794643711974,0.01,2,2352965,10002
min,53910,849.9083389549752,9.697364757604423e-06,7.427109222745084e-06,1.8129637559292795,1.8159303094860866,0.02078386472937916,0.01,2,2352965,10002
harmonic,53910,608.4355661977066,9.331307653909844e-06,7.23735718592059e-06,1.811108417603593,1.8132196892221721,0.02089405305838534,0.01,2,2352965,10002
uniform,166241,166241.0,7.81375365712606e-06,5.923175294829414e-06,1.543628794891439,1.5445150268877368,0.007673510315528111,0.03,0,7066960,30000
min,166241,1186.0973495377223,2.7174347292436695e-06,2.0800706343067388e-06,1.739920741822327,1.7395379980475787,0.01216945514447127,0.03,0,7066960,30000
harmonic,166241,855.9253339054999,2.618125862300816e-06,2.028564260864623e-06,1.7452228247907895,1.7448666391299898,0.012276473122198593,0.03,0,7066960,30000
uniform,166556,166556.0,7.81044772446003e-06,5.922676095802067e-06,1.5496655376597808,1.5508462296043175,0.0075734395001880025,0.03,1,7067662,30001
min,166556,1197.9226601826938,2.717925464662749e-06,2.0807142760308485e-06,1.7393325426577446,1.7406325955743391,0.012089684033121833,0.03,1,7067662,30001
harmonic,166556,863.6431825240568,2.618161562965661e-06,2.029113539841778e-06,1.740228516826176,1.7418222047327927,0.012093046518586418,0.03,1,7067662,30001
uniform,166956,166956.0,7.778167311943887e-06,5.895611110947145e-06,1.51978287660235,1.519730582993279,0.007487487093286563,0.03,2,7069268,30002
min,166956,1205.312073112669,2.716359266350947e-06,2.0790576506956695e-06,1.7169029348415892,1.715804850864767,0.010938470059207702,0.03,2,7069268,30002
harmonic,166956,868.8993174122695,2.6166702384336916e-06,2.02719644791062e-06,1.7187375888265384,1.7173526310452516,0.010854640984929938,0.03,2,7069268,30002
uniform,542465,542465.0,2.320419527705429e-06,1.7585367416163693e-06,1.5388453294894766,1.5389830111314262,0.005440776202602578,0.1,0,23564313,100000
min,542465,1638.5743754666846,6.945430198627223e-07,5.312685452158528e-07,1.716414680181664,1.7168555326625539,0.006493411085675703,0.1,0,23564313,100000
harmonic,542465,1191.7414242539153,6.699383805183401e-07,5.185179094268297e-07,1.7145344241400733,1.715106585283813,0.006409156688843343,0.1,0,23564313,100000
uniform,541936,541936.0,2.3226094063767726e-06,1.760603151642384e-06,1.5493063279563142,1.5497363013007959,0.005183062103032234,0.1,1,23563585,100001
min,541936,1634.183052476304,6.956740849265654e-07,5.320651652840266e-07,1.7219761115962238,1.7214486362189796,0.006598321345889396,0.1,1,23563585,100001
harmonic,541936,1185.1974353557785,6.709728237904063e-07,5.192016033850297e-07,1.7213705127933467,1.720724938890028,0.006519390962811201,0.1,1,23563585,100001
uniform,542520,542520.0,2.3215810727899386e-06,1.7593925196831635e-06,1.5394460902748384,1.5398641081303146,0.00510299538529207,0.1,2,23556402,100002
min,542520,1638.80675193179,6.956486789529067e-07,5.32071903868678e-07,1.7086288196508774,1.7094448681639696,0.0069832538573147565,0.1,2,23556402,100002
harmonic,542520,1188.0546552041535,6.708961834049536e-07,5.192179918015852e-07,1.7085394105672416,1.70923468664795,0.006996112617829375,0.1,2,23556402,100002
uniform,1533253,1533253.0,8.048442849967077e-07,6.102347520769048e-07,1.5426216599471567,1.5424379413264822,0.0030543659552887967,0.3,0,70674136,300000
min,1533253,2058.2721194385767,2.0581255863251257e-07,1.5731660332391177e-07,1.6918643143333747,1.6915282831994958,0.0036660821686811443,0.3,0,70674136,300000
harmonic,1533253,1497.7192499818261,1.986592390078675e-07,1.536036784759018e-07,1.6907453537483514,1.6903873981054476,0.003613207794751616,0.3,0,70674136,300000
uniform,1530220,1530220.0,8.05773699627465e-07,6.107558851890689e-07,1.5411096955330272,1.5413923961509175,0.0030549275478962395,0.3,1,70677729,300001
min,1530220,2062.7358332434414,2.0594573153342497e-07,1.5743821078985185e-07,1.6917338583845636,1.6918273925093623,0.0037579635073857532,0.3,1,70677729,300001
