traffic_split,imbalance_ratio,scheme,mse,variance,bias2
0.9,5,clipped_5,0.04301807503297063,1.795181436204312e-05,0.04300012321860859
0.9,10,original,0.005790903602724712,0.005789836822285595,1.066780439117761e-06
0.9,10,min,0.0032327558815083654,0.003226433907568759,6.3219739396062395e-06
0.9,10,harmonic,0.0031304295719298417,0.0031285076089863596,1.921962943481834e-06
0.9,10,clipped_5,0.04337932321816036,1.6456503353304804e-05,0.04336286671480706
0.9,20,original,0.005580049591875044,0.005579259482089773,7.901097852704029e-07
0.9,20,min,0.003166225830231095,0.003163291837202848,2.933993028246941e-06
0.9,20,harmonic,0.003051195886005311,0.003050836944437963,3.5894156734767016e-07
0.9,20,clipped_5,0.04339551695957337,1.6296084615903007e-05,0.04337922087495746
0.9,50,original,0.0057136529751403865,0.005711506761250523,2.1462138898627524e-06
0.9,50,min,0.0030880897839116483,0.0030858388473079573,2.2509366036910012e-06
0.9,50,harmonic,0.0029798006055556324,0.0029794362325404064,3.643730152264078e-07
0.9,50,clipped_5,0.04339132853130941,1.6048859719497113e-05,0.04337527967158991
0.9,100,original,0.005925817102432278,0.0059232147164508435,2.6023859814345386e-06
0.9,100,min,0.003216267989362721,0.003211530571472246,4.7374178904747375e-06
0.9,100,harmonic,0.00310619680083824,0.003105344474835912,8.52326002328879e-07
0.9,100,clipped_5,0.04338613608988441,1.6476792500191803e-05,0.04336965929738422
0.95,1,original,0.008151362523709354,0.00807205301958048,7.930950412887388e-05
0.95,1,min,0.005381588083373226,0.005259740024229378,0.00012184805914384855
0.95,1,harmonic,0.005150854094318523,0.005055101838169781,9.575225614874211e-05
0.95,1,clipped_5,0.028532534371556534,0.00017849608834727513,0.02835403828320926
0.95,2,original,0.006939801742286457,0.0069303368976252454,9.464844661210946e-06
0.95,2,min,0.004108105296575128,0.0040862144876737715,2.1890808901357686e-05
0.95,2,harmonic,0.004019883452557468,0.004005991654803914,1.3891797753554122e-05
0.95,2,clipped_5,0.03952017091771966,4.074051915155822e-05,0.0394794303985681
0.95,5,original,0.006144129793640485,0.006138798260164396,5.33153347608816e-06
0.95,5,min,0.0034794447138830733,0.003463112568967794,1.6332144915278845e-05
0.95,5,harmonic,0.0034169385852824245,0.003405093563116153,1.1845022166271478e-05
0.95,5,clipped_5,0.043698040629987965,1.584434222998739e-05,0.04368219628775798
0.95,10,original,0.006295875739044122,0.006294229274289982,1.6464647541397853e-06
0.95,10,min,0.003291296260352935,0.0032887253938987753,2.57086645415904e-06
0.95,10,harmonic,0.003228600553391014,0.0032274182050659045,1.1823483251082916e-06
0.95,10,clipped_5,0.04408382958277825,1.4253249092160842e-05,0.04406957633368608
0.95,20,original,0.005756332859344516,0.005755791691017465,5.411683270506278e-07
0.95,20,min,0.00313962176393201,0.003139003126978274,6.186369537369011e-07
0.95,20,harmonic,0.0030761278615080187,0.003075983393089326,1.444684186926447e-07
0.95,20,clipped_5,0.04407312486148378,1.3632004816148242e-05,0.04405949285666763
0.95,50,original,0.005813689193259043,0.005812964877570265,7.243156887766479e-07
0.95,50,min,0.0031372565210415954,0.0031365853045076317,6.71216533963915e-07
0.95,50,harmonic,0.003063913451578707,0.003063633203755013,2.8024782369426783e-07
0.95,50,clipped_5,0.04407594701501658,1.3931168444080406e-05,0.0440620158465725
0.95,100,original,0.0056302477225209716,0.005630045184340722,2.0253818024930438e-07
0.95,100,min,0.002987390712542349,0.002986754382585533,6.363299568152813e-07
0.95,100,harmonic,0.0029298689301005317,0.002929718121977906,1.5080812262545802e-07
0.95,100,clipped_5,0.04406616389458385,1.412593806197872e-05,0.04405203795652187
