traffic_split,imbalance_ratio,scheme,mse,variance,bias2
0.8,20,original,0.006220169290471964,0.006146053785929225,7.411550454273924e-05
0.8,20,min,0.003593004832829552,0.003510582225884544,8.242260694500824e-05
0.8,20,harmonic,0.0034533527030795952,0.003394148533327072,5.920416975252257e-05
0.8,20,oracle,0.0035058179086579766,0.003439286210705565,6.653169795241073e-05
0.8,50,original,0.005127194524812443,0.005116222337770581,1.0972187041862956e-05
0.8,50,min,0.0031629233375032964,0.0031500960769475727,1.2827260555723518e-05
0.8,50,harmonic,0.0029448735620794596,0.0029422709229750947,2.60263910436513e-06
0.8,50,oracle,0.0029929816490174813,0.002987934085149001,5.047563868480264e-06
0.8,100,original,0.005065088902856954,0.005052466323570689,1.2622579286264633e-05
0.8,100,min,0.0030154878575324993,0.0030002651452406886,1.5222712291810604e-05
0.8,100,harmonic,0.0028524797315990216,0.0028509248692579507,1.5548623410712814e-06
0.8,100,oracle,0.0028423352575014695,0.002839090836633961,3.244420867507928e-06
0.9,1,original,0.008244772242439889,0.00811105327551093,0.000133718966928956
0.9,1,min,0.005437622280581591,0.005262222503129398,0.00017539977745219436
0.9,1,harmonic,0.00525937709298561,0.005105879918313086,0.00015349717467252324
0.9,1,oracle,0.005295321099411721,0.0051392027453766405,0.00015611835403508072
0.9,2,original,0.008141339668555748,0.008037737147438282,0.00010360252111746766
0.9,2,min,0.004601557979668069,0.004492499221783742,0.00010905875788432687
0.9,2,harmonic,0.004406453285761049,0.004324939003490434,8.151428227061395e-05
0.9,2,oracle,0.004465639716808483,0.0043797545303889225,8.588518641955982e-05
0.9,5,original,0.005339935677677351,0.005333523544045498,6.412133631854358e-06
0.9,5,min,0.003650818001677878,0.0036268254393934845,2.3992562284393285e-05
0.9,5,harmonic,0.003475602612317405,0.003460667915476833,1.4934696840571406e-05
0.9,5,oracle,0.0035013110669807447,0.0034841881223466103,1.7122944634134203e-05
0.9,10,original,0.006193389511326856,0.006161768553457891,3.162095786896548e-05
0.9,10,min,0.003634579705272079,0.003570713974519207,6.386573075287126e-05
0.9,10,harmonic,0.0034087047767209786,0.0033715631409821168,3.714163573886187e-05
0.9,10,oracle,0.0034437188131573467,0.003401483150806059,4.223566235128807e-05
0.9,20,original,0.005272895417168176,0.005269535087080416,3.3603300877606083e-06
0.9,20,min,0.0033338678877294714,0.003326766205072937,7.10168265653474e-06
0.9,20,harmonic,0.003143440539354717,0.0031400393164395064,3.401222915210144e-06
0.9,20,oracle,0.003227323599718719,0.0032230437551693364,4.279844549381962e-06
0.9,50,original,0.006497825858135233,0.006475670321884707,2.2155536250526108e-05
0.9,50,min,0.0031738362958787245,0.003169762043335203,4.0742525435214636e-06
0.9,50,harmonic,0.0029799279609946786,0.0029775698899482364,2.358071046441892e-06
0.9,50,oracle,0.0030125592019447237,0.0030107835288732563,1.7756730714673818e-06
0.9,100,original,0.005898995360697162,0.00588419296109235,1.4802399604812546e-05
0.9,100,min,0.0032006988720788944,0.0031928929173903496,7.805954688544975e-06
0.9,100,harmonic,0.0030897727628524958,0.0030872034215740887,2.5693412784070698e-06
0.9,100,oracle,0.0030911360966061467,0.0030873926034869436,3.7434931192025827e-06
0.95,1,original,0.008303917646139728,0.008165816330382002,0.00013810131575772502
0.95,1,min,0.0054858551410663274,0.0053089481236607144,0.00017690701740561232
0.95,1,harmonic,0.005370838992798409,0.005211240558088699,0.00015959843470970898
0.95,1,oracle,0.005418388712844327,0.005253814035296038,0.00016457467754828848
0.95,2,original,0.006498024298804231,0.006488136921461722,9.887377342507962e-06
0.95,2,min,0.0037194020714452413,0.0036981278474017103,2.1274224043530798e-05
0.95,2,harmonic,0.0036850703483930066,0.003670196597526891,1.4873750866115817e-05
0.95,2,oracle,0.00367232148199556,0.00365639623079378,1.5925251201779674e-05
0.95,5,original,0.005575074078529335,0.0055501965228941744,2.4877555635160748e-05
0.95,5,min,0.0034951244359083277,0.003445995816398375,4.9128619509953e-05
0.95,5,harmonic,0.00342160149369554,0.003379469756165958,4.2131737529582146e-05
0.95,5,oracle,0.003457218475393962,0.0034104397594103553,4.677871598360577e-05
0.95,10,original,0.005600002779263454,0.005594803530605084,5.199248658369915e-06
0.95,10,min,0.0031526624747752483,0.0031489418189785618,3.7206557966865884e-06
0.95,10,harmonic,0.0031238390074652014,0.003121617795590656,2.2212118745454288e-06
0.95,10,oracle,0.003091759510619278,0.00308941215162711,2.3473589921674903e-06
0.95,20,original,0.0062676117046086225,0.006234417003817867,3.319470079075618e-05
0.95,20,min,0.0033563178573088543,0.0033356288957313513,2.0688961577503924e-05
0.95,20,harmonic,0.0032480361186839903,0.0032360677629862237,1.1968355697766742e-05
0.95,20,oracle,0.003269263702362852,0.0032556813319417066,1.358237042114598e-05
0.95,50,original,0.006117657617506815,0.006109879416721113,7.778200785702181e-06
0.95,50,min,0.0031390931453100326,0.0031348573473414325,4.23579796859891e-06
0.95,50,harmonic,0.003022255614915774,0.0030203859906933195,1.8696242224543475e-06
0.95,50,oracle,0.0030401018963756386,0.0030379522861359786,2.1496102396593767e-06
0.95,100,original,0.006004813599706863,0.00598448205561106,2.0331544095802805e-05
0.95,100,min,0.0029076303398501485,0.002902457539749061,5.172800101087574e-06
0.95,100,harmonic,0.0028416449870272047,0.0028387121665701814,2.932820457023268e-06
0.95,100,oracle,0.0028518141969488065,0.0028478654509366177,3.948746012188994e-06
